Tube_ID
FD10114861
FD10104965
FD10104972
FD10104973
FD10105069
FD10105073
FD10105074
FD10105627
FD10105634
FD10105655
FD09906395
FD09906388
FD09906304
FD09906300
FD09906282
FD09906279
FD09906105
FD09906091
FD10104483
FD08244203
FD08244208
FD08264621
FD08264617
FD08264609
FD08244468
FD08244492
FD08244494
FD08244495
FD08244501
FD08244502
FD08292396
FD08244094
FD08244123
FD08292130
FD08292228
FD08292229
FD08264334
FD08264333
FD08264523
